country,consumption,unit,data1980,data1981,data1982,data1983,data1984,data1985,data1986,data1987,data1988,data1989,data1990,data1991,data1992,data1993,data1994,data1995,data1996,data1997,data1998,data1999,data2000,data2001,data2002,data2003,data2004,data2005,data2006,data2007,data2008,data2009,data2010,data2011,data2012,data2013,data2014,data2015,data2016
Cote dIvoire (IvoryCoast),"Nuclear, Renewables, and Other",Quad Btu,0.013971864,0.018041883,0.018095882,0.011224859,0.00385236,0.014040768,0.012675462,0.01237045,0.012623916,0.012904073,0.013477494,0.012507752,0.010606112,0.011507168,0.011772458,0.018492295,0.017637293,0.015577204,0.011477986,0.012703476,0.01342619,0.014262601,0.012783015,0.013892097,0.013558526,0.010490648,0.012555829,0.016365727,0.017223168,0.019671013,0.014527812,0.015461088,0.015054486,0.012911046,0.01515123,0.010526762,0.009327989
Croatia,"Nuclear, Renewables, and Other",Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0.043940379,0.042332335,0.055471002,0.066256811,0.080442375,0.067942925,0.070936801,0.075513268,0.074135706,0.078801439,0.06542058,0.060051063,0.080154963,0.078813444,0.077484662,0.063157879,0.072542544,0.083372093,0.103834153,0.077881303,0.077112836,0.102220039,0.109086596,0.092441238,0.096829365
Cuba,"Nuclear, Renewables, and Other",Quad Btu,0.012904898,0.012437166,0.013244311,0.013372232,0.012688571,0.013246179,0.014333875,0.0148558,0.015695148,0.015880037,0.01823689,0.015417014,0.015642605,0.010487006,0.011331013,0.00801762,0.0110146,0.010402348,0.009571104,0.011354669,0.011559555,0.010710976,0.012066205,0.009313636,0.009716601,0.005002374,0.005550715,0.005534618,0.007716038,0.00665917,0.007067101,0.006383076,0.007345698,0.008614268,0.007587427,0.00736352,0.007088437
Cyprus,"Nuclear, Renewables, and Other",Quad Btu,0,0,0,0,0.000527759,0.000751041,0.00104175,0,0.000710601,0.000238938,0.000544723,0.001330239,0.000456309,0.000398837,0.000431273,0,0.000577747,0.000603289,0.000566227,1.02E-05,0.00022333,0.0006036,0.0005972,0.000146875,0.000405135,0.000510605,0.001028485,0.000498836,0.00019939,0.000399366,0.000631635,0.002186777,0.00234646,0.003524743,0.00342825,0.004117184,0.003868729
Czech Republic,"Nuclear, Renewables, and Other",Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123752137,0.135625973,0.130621903,0.13235005,0.143150446,0.134915227,0.139125819,0.128279521,0.145452033,0.184111893,0.235338201,0.251903494,0.240958765,0.261113146,0.254980102,0.271556837,0.28816153,0.306796357,0.316666057,0.342948465,0.360097618,0.34963361,0.329313714,0.306118578
Denmark,"Nuclear, Renewables, and Other",Quad Btu,0,0.020837128,0.009205286,0.016369415,0.020390241,0.005775132,0.003169755,0.011993789,0.018965175,0.038916083,0.033951153,0.005522702,0.029327598,0.022970111,0.005064908,0.019640921,0,0.010171197,0.031250626,0.044090186,0.066629639,0.06628698,0.069477693,0.061390249,0.093020643,0.11214233,0.077680378,0.107833633,0.114382596,0.107023421,0.125001159,0.150416815,0.167176225,0.164114534,0.188173105,0.204511546,0.193931814
Djibouti,"Nuclear, Renewables, and Other",Quad Btu,0,0,0,0,0,0,0,0,0,0,0.000482312,0.000482312,0,0,0,0.000343055,0.000409748,0,0,0,5.77E-05,1.28E-05,4.80E-05,0.000497622,0.000155557,0.000494758,0,0.000180997,0,0,0.000364418,0.00033997,0.000324276,0,0,9.98E-05,0.00028267
Dominica,"Nuclear, Renewables, and Other",Quad Btu,0.000476492,0.00061453,0.000604086,0.0006678,0.00067904,0.000726258,0.000638999,0.000840802,0.000896485,0.000896569,0.000896089,0.000896633,0.000896773,0.000894601,0.001140597,0.000416996,0.000420873,0.00042593,0.000496989,0.000548927,0.000805983,0,0,3.28E-05,0.00040821,0.000307709,0.00030118,0,0.000503081,0.000541754,0.000658277,0.000693015,0.000591289,0.00058853,0.000671408,0,6.41E-05
Dominican Republic,"Nuclear, Renewables, and Other",Quad Btu,0.00671065,0.009230001,0.008687278,0.009078776,0.00667116,0.011743029,0.010598434,0.011289908,0.009197513,0.006587481,0.004733682,0.006099472,0.006400585,0.012474328,0.006293566,0.006910375,0.009617288,0.007517001,0.006892447,0.011401612,0.008787076,0.007568896,0.009608288,0.012742664,0.016945146,0.019818892,0.018487017,0.016483188,0.014733062,0.014288437,0.01513588,0.015539711,0.020187577,0.024301583,0.019293095,0.017560956,0.02371195
Ecuador,"Nuclear, Renewables, and Other",Quad Btu,0.009065023,0.007818821,0.008904064,0.017910271,0.03322172,0.039491167,0.044825075,0.046787579,0.048755746,0.050778954,0.051807874,0.052933945,0.050282202,0.059186068,0.066555314,0.051893868,0.064554966,0.066081242,0.065580702,0.072453145,0.077084554,0.072478623,0.075895432,0.075140167,0.079201412,0.074770797,0.082175704,0.100547539,0.114171218,0.095202442,0.08948074,0.114276249,0.120003329,0.111060392,0.115724171,0.127271902,0.149609597
Egypt,"Nuclear, Renewables, and Other",Quad Btu,0.100791161,0.104749839,0.108479033,0.105620495,0.102580228,0.083005024,0.082264889,0.085558753,0.081067271,0.081614366,0.100669559,0.088146274,0.087277788,0.106562152,0.100771773,0.104065867,0.107581866,0.111634025,0.115919727,0.146752339,0.126781136,0.143898939,0.116961493,0.118692701,0.114969739,0.114459081,0.11819829,0.145861543,0.137405737,0.121831349,0.129983666,0.132529412,0.13461731,0.138431102,0.141117473,0.144080949,0.14335532
El Salvador,"Nuclear, Renewables, and Other",Quad Btu,0.016028689,0.016108077,0.017374556,0.015548587,0.01787328,0.016662965,0.017091537,0.015864737,0.018121721,0.019727029,0.019631217,0.013006992,0.014988619,0.016162863,0.017054039,0.019745972,0.023685209,0.020041776,0.021092036,0.025608796,0.022325031,0.024175747,0.022704888,0.026848259,0.025541823,0.029467931,0.032156445,0.032453512,0.037047931,0.032482298,0.037899145,0.037886742,0.035843593,0.036592279,0.036245246,0.035129516,0.035657776
Equatorial Guinea,"Nuclear, Renewables, and Other",Quad Btu,0.000846776,0.000844906,2.09E-05,2.10E-05,2.09E-05,2.09E-05,5.74E-05,9.79E-05,0.000100603,0,0,0,0,0,0,0,0,0,0.000697647,0.000697751,0.000266565,0,0.000281592,0,0,0.000240112,0,0.000489631,4.82E-05,0.00086756,0.001288968,0.0007664,0.000555759,0.001711837,0.001380075,0.001480999,0.000343167
Eritrea,"Nuclear, Renewables, and Other",Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000251873,0.000181153,0,0,0,0.000290551,0,0,0,0,0,0,0,0.000172143,0,3.60E-05,3.39E-05,0.000162926,0,0,0.00010656,0.000450037,0
Estonia,"Nuclear, Renewables, and Other",Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005654461,0,0,0.006426291,0.000571596,0.004117178,0.012470124,0.008708957
Ethiopia,"Nuclear, Renewables, and Other",Quad Btu,0.004913526,0.005247407,0.006000599,0.006553971,0.00713052,0.007803909,0.008629041,0.009147917,0.010220197,0.010756831,0.01180762,0.011784098,0.011591266,0.012930359,0.014143005,0.014358132,0.015763189,0.016068632,0.01611376,0.016804941,0.016421158,0.020256484,0.020228646,0.023211439,0.024724536,0.028325088,0.03183823,0.033431635,0.032961876,0.035520857,0.048442413,0.05952742,0.069090423,0.079161637,0.087320058,0.095613641,0.102240153
Falkland Islands (Islas Malvinas),"Nuclear, Renewables, and Other",Quad Btu,0.000172,0.000173,0.000173,0.000173,0.000174,0.000215,0.00017063,0.00017063,0.00029693,0.000425225,0.000212613,0.000212613,0.000213195,0.000212613,0.000212613,0.000425225,0.000257024,0.000469037,0.000256425,0.000256442,0.000394859,0.00043834,0.000482137,0.000526088,0.00056989,0.000569886,0.000657645,0.000657635,0.000674377,0.000674189,0.000646846,0.000639018,0.000660445,0.00066062,0.000660403,0.00068205,0.00069145
Faroe Islands,"Nuclear, Renewables, and Other",Quad Btu,0.000509012,0.000512197,0.000512246,0.000515481,0.00051156,0.000511903,0.000613705,0.000883495,0.000293374,0.001103902,0.00094076,0.001174274,0.00124637,0.001030085,0.001265721,0.000922169,0.000918873,0.000940731,0.000954361,0.000884691,0.000957793,0.00106534,0.000811114,0.000768395,0.001088443,0.000845182,0.000732592,0.001226796,0.00131246,0.00149866,0.000899253,0.001419278,0.000639892,0.000585926,0.001876291,0.001645928,0.001468471
Fiji,"Nuclear, Renewables, and Other",Quad Btu,0,0,0,0.000515481,0.0029754,0.003040077,0.003296253,0.00387603,0.003822837,0.003801186,0.00417158,0.003855835,0.004335302,0.00415332,0.004655103,0.005033861,0.004516038,0.004464475,0.004920109,0.004616815,0.004385516,0.004590579,0.005094579,0.003476885,0.003971816,0.003123596,0.003801755,0.00493862,0.005542134,0.004264886,0.003904892,0.00442283,0.005199115,0.0055222,0.003628773,0.003686126,0.00472215
Finland,"Nuclear, Renewables, and Other",Quad Btu,0.214125862,0.325835526,0.341612713,0.364047892,0.374315615,0.364186884,0.365452796,0.383900197,0.374819685,0.376284516,0.414873502,0.42430058,0.443217585,0.431703758,0.411131726,0.418790664,0.391753218,0.441493109,0.507798893,0.494792331,0.510172905,0.49110774,0.473067842,0.444849417,0.508614651,0.536093401,0.502022456,0.529922616,0.558315953,0.491559198,0.509913254,0.523439765,0.566613576,0.540257382,0.554193018,0.580242975,0.5825695
Former Czechoslovakia,"Nuclear, Renewables, and Other",Quad Btu,0.043464515,0.046631943,0.045756359,0.058221231,0.080062849,0.154339669,0.221007512,0.263229856,0.270795557,0.295996367,0.314900411,0.286000439,0.290151327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Former Serbia and Montenegro,"Nuclear, Renewables, and Other",Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0.13128177,0.106572399,0.118086776,0.131887681,0.157170091,0.143598554,0.146250646,0.156223047,0.141856552,0.143213758,0.13361176,0.118500617,0.124660387,0.13314368,0,0,0,0,0,0,0,0,0,0,0
Former U.S.S.R.,"Nuclear, Renewables, and Other",Quad Btu,2.681348953,2.597402271,2.886248163,3.069180835,3.664501198,3.993174623,3.875885462,4.181424762,4.560416634,4.612513694,4.521707584,4.738474315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Former Yugoslavia,"Nuclear, Renewables, and Other",Quad Btu,0.284466719,0.264168672,0.265944482,0.267978209,0.309881179,0.299028555,0.331685181,0.309517657,0.293359988,0.289238579,0.245046732,0.216393079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,"Nuclear, Renewables, and Other",Quad Btu,1.51103357,1.792166621,1.799197299,2.09696878,2.49889085,2.75489299,3.027123872,3.184245164,3.320996135,3.318205279,3.543506542,3.715091813,3.894872191,4.117098014,4.166129016,4.261454199,4.380734939,4.369809688,4.305032675,4.447639634,4.581460114,4.737122053,4.718556719,4.788372121,4.857230181,4.851202338,4.875714543,4.822681315,4.926670182,4.669937317,4.96045696,4.873815335,4.90353825,4.981416558,5.01938219,4.999878531,4.797357365
French Guiana,"Nuclear, Renewables, and Other",Quad Btu,0,0,0,0,0,0,0.000315742,7.16E-05,0,2.35E-05,0,0,0,0,0,0,0.000308001,0,0,0,0,0.005070062,0.006081182,0.006244463,0.006227787,0.006242714,0.006290724,0.006537899,0.006850601,0.006578881,0.007689274,0.00713629,0.006123872,0.005372103,0.005157296,0.00545546,0.004191912
French Polynesia,"Nuclear, Renewables, and Other",Quad Btu,0,0,0,0.00016832,0.00025056,0.000334304,1.88E-05,0.000164351,0.000209844,0.000395489,0.000626263,0.000742693,0.001058337,0.001063695,0.000553823,0.001251176,0.001172326,0.001320505,0.001501923,0.000851855,0.001161187,0.001344032,0.001179746,0.001342555,0.002250945,0.001883494,0.001708859,0.002646376,0.001944879,0.00184331,0.002509784,0.00247322,0.0020229,0.002268477,0.001611541,0.002260863,0.002101169
Gabon,"Nuclear, Renewables, and Other",Quad Btu,0.002287217,0.004463525,0.00513283,0.00524043,0.00585486,0.00698902,0.006775303,0.007296658,0.006142922,0.00781299,0.007142131,0.007354652,0.007570183,0.007159663,0.007303122,0.007509044,0.007277892,0.008420523,0.008357348,0.008223672,0.00816256,0.009259397,0.009270082,0.009117274,0.00890123,0.007860575,0.00901228,0.007724348,0.008665957,0.009166591,0.009176446,0.008109451,0.008631669,0.00929627,0.008521644,0.01011144,0.010138663
"Gambia, The","Nuclear, Renewables, and Other",Quad Btu,0,0,0,0,0,0,0.000197047,0,0,0,0,0,0,0,0.000328075,7.92E-05,8.76E-05,7.92E-05,0.000286195,0.00028621,0.000318428,0,0,0,0,0,0.000427631,0,0,0.000283723,0,0.000205062,2.40E-05,0,0,0,0.000166329
Georgia,"Nuclear, Renewables, and Other",Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0.069522455,0.069684948,0.071947071,0.055842969,0.062777136,0.062602327,0.064633035,0.066668426,0.06016205,0.058742289,0.070321708,0.069904543,0.066266793,0.101554595,0.093626284,0.092226996,0.093663997,0.082485891,0.111425514,0.100884296,0.091528772,0.099610794,0.102705798,0.098909312,0.106485794
Germany,"Nuclear, Renewables, and Other",Quad Btu,0,0,0,0,0,0,0,0,0,0,0,1.632918998,1.782226301,1.784614816,1.805428065,1.864743774,1.927127343,1.996404827,1.986605744,2.080565611,2.219700672,2.31403899,2.303410364,2.245558543,2.339444438,2.285163942,2.393092443,2.326061305,2.428870112,2.286328848,2.479311281,2.354716956,2.364674169,2.399844862,2.486460256,2.571643755,2.466660635
"Germany, East","Nuclear, Renewables, and Other",Quad Btu,0.138512705,0.131741999,0.128695792,0.139394328,0.118688126,0.14068301,0.135420463,0.147361384,0.136081358,0.124201158,0.073716306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, West","Nuclear, Renewables, and Other",Quad Btu,0.633696613,0.752512038,0.896845604,0.910030829,1.105243094,1.460690587,1.456259315,1.597649868,1.71783407,1.633141736,1.647170678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,"Nuclear, Renewables, and Other",Quad Btu,0.053305825,0.054219023,0.049875585,0.026058346,0.01792856,0.030377972,0.044535048,0.047044085,0.049189122,0.052823081,0.058163477,0.063060881,0.066182399,0.063390223,0.060712127,0.061640574,0.06725005,0.068328635,0.039913733,0.052323342,0.067895612,0.067714277,0.052623722,0.040600714,0.053310398,0.056227027,0.054317974,0.037360968,0.059535783,0.064220743,0.064750372,0.070816656,0.073953934,0.078723788,0.078043229,0.053394578,0.05080634
Gibraltar,"Nuclear, Renewables, and Other",Quad Btu,0,0,0,0,0,0,0,0,0,0.000119613,2.07E-05,0,0.000192744,0.000364522,0,0,0,0,0,0,0,0,0.000462765,0.000166505,0,0,0,0,0,0.000336542,0,0,0,0,0.000229861,7.45E-05,0.000339694
Greece,"Nuclear, Renewables, and Other",Quad Btu,0.038929775,0.037353883,0.041330659,0.032619541,0.040122218,0.033287438,0.039901664,0.032962418,0.025874751,0.022916708,0.021285861,0.034993314,0.025949744,0.028714131,0.029428158,0.040243552,0.051789115,0.048387318,0.045890786,0.051168831,0.043243233,0.03973711,0.046914885,0.068676244,0.070793827,0.07729674,0.090259188,0.061111896,0.07606355,0.094553969,0.122723216,0.090864837,0.094133564,0.143453044,0.147352947,0.169082591,0.170261122
Greenland,"Nuclear, Renewables, and Other",Quad Btu,0,0,0,0,0,0,0,0.000294473,0,0,0,0,0,0,9.28E-06,9.28E-06,0.000428261,0,0,0.001369347,0.00215521,0.001478545,0.002175963,0.002058467,0.001699473,0.001680869,0.001716765,0.002106549,0.001762527,0.002789361,0.002924353,0.003754155,0.003313016,0.003358677,0.003550802,0.004194782,0.004027622
Grenada,"Nuclear, Renewables, and Other",Quad Btu,0.000669,0.000766,0.000851,0.000829,0.000853,0.000878,0.000945975,0.000164638,0.000209296,0.000206494,0,0,0,0.000125772,0.000437925,0.000220373,0.000377653,0.000146462,0,0,0,6.43E-05,0.000148728,0.000330809,0.000234494,0.0004012,0,0,0,0,1.16E-05,1.22E-05,7.83E-05,0,3.70E-06,5.03E-05,6.07E-05
Guadeloupe,"Nuclear, Renewables, and Other",Quad Btu,0,0,0,0,0,0,0.000607138,0.000729446,0.000315845,8.06E-05,0.000620149,0.000433805,0.000322591,0.000149864,0,0.000575354,0.000438256,2.06E-05,7.10E-05,7.22E-05,0.000986358,0.000442273,0.000229131,0.00148634,0.001702276,0.001499658,0.001516219,0.001835493,0.001654145,0.001283991,0.001337615,0.001561839,0.001534003,0.001453112,0.001758735,0.000952192,0.000996212
Guam,"Nuclear, Renewables, and Other",Quad Btu,0,0,0,0,0,0,0.000361578,0,0.000186488,0.00039093,8.70E-05,0.00026132,0.000182807,0,0,0.000469536,0,0,0.000131731,0,0,5.69E-05,0,0,0.0001893,0,0,0.000314751,0.000385925,0.000329326,0,0,1.63E-05,0,0,0.0004967,0.000787172
Guatemala,"Nuclear, Renewables, and Other",Quad Btu,0.005889998,0.004118483,0.005645163,0.008994616,0.00685908,0.007615863,0.017941609,0.018360302,0.019664257,0.02294901,0.024988399,0.02576592,0.022606986,0.02346515,0.025122013,0.024266396,0.02399629,0.024047438,0.022764319,0.031244664,0.031429325,0.029707425,0.026228897,0.04198742,0.040470365,0.042195875,0.045175812,0.046156658,0.047322911,0.04283495,0.05619842,0.059071718,0.060875752,0.066207347,0.06815754,0.061519155,0.066369095
Guinea,"Nuclear, Renewables, and Other",Quad Btu,0.001537424,0.001547044,0.001547193,0.001609563,0.0016182,0.001681967,0.00180477,0.001859612,0.002086705,0.001534598,0.001813664,0.002215805,0.001743503,0.001555575,0.001769201,0.001669547,0.001762008,0.002802394,0.003233868,0.004101755,0.004547343,0.006086278,0.006303925,0.004442594,0.005838151,0.00517726,0.004719044,0.005734555,0.005073652,0.004816948,0.005137568,0.003923761,0.004678806,0.005046214,0.004335411,0.00362767,0.003957499
Guinea-Bissau,"Nuclear, Renewables, and Other",Quad Btu,0,0,0,0,0,0,0,0,0.00012104,0.000156833,0,0,0.000100583,0.00049295,0.00049295,0.00049295,0.000312863,0.00049295,0.00049295,0.000492951,0.00040127,0.000463795,0,0.000113992,0.000256625,0.000311454,0.000409737,0,0,0,0,0,1.96E-05,0.000138224,0.000424354,0,0
Guyana,"Nuclear, Renewables, and Other",Quad Btu,5.19E-05,5.23E-05,5.23E-05,5.26E-05,5.22E-05,5.22E-05,0.000126839,0.000537623,0.000368845,0,0.000303072,0,0.000177052,0.000535394,0.000528802,0.000185121,0.000367913,0.000287459,0,0,0.000231663,0,0,0,0,0,0,4.28E-05,0,0,0.000333714,0.000263793,0,0,0,0,0.000460888
Haiti,"Nuclear, Renewables, and Other",Quad Btu,0.002378853,0.002446003,0.002697133,0.002819365,0.00290232,0.003207229,0.003758787,0.003874463,0.003345047,0.00309026,0.003657897,0.003236457,0.00352631,0.002608088,0.001931342,0.002550575,0.003067889,0.001877835,0.003496167,0.002272275,0.002850251,0.00294695,0.002420242,0.002293406,0.002278881,0.002582947,0.002328976,0.001866697,0.002128195,0.002394194,0.001970762,0.001559314,0.001807396,0.001676343,0.000601258,0.00126593,0.000191186
Hawaiian Trade Zone,"Nuclear, Renewables, and Other",Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,"Nuclear, Renewables, and Other",Quad Btu,0.008005891,0.008568267,0.00883044,0.008728487,0.0090306,0.009047102,0.01355893,0.012218426,0.017539686,0.018615058,0.021980793,0.02190459,0.022788277,0.023622921,0.018584343,0.01749889,0.020273674,0.021239713,0.01973571,0.022941606,0.024662678,0.020853924,0.017177033,0.019789038,0.016369689,0.018236496,0.020883509,0.023164674,0.023974779,0.028190609,0.032439314,0.030573539,0.032326737,0.031963238,0.03181144,0.035155944,0.0414623
Hong Kong,"Nuclear, Renewables, and Other",Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00637337,0.015566575,0.024169709,0.024761857,0.022727911,0.028707821,0.030637058,0.029095379,0.027680832,0.02551525,0.023446811,0.02121666,0.021514985,0.02388643,0.025368283,0.024672741,0.027309636,0.026631136,0.032209748,0.029486997,0.031288778,0.036956729,0.037092658
Hungary,"Nuclear, Renewables, and Other",Quad Btu,0.068013186,0.065483222,0.064535844,0.094848923,0.113525271,0.150266251,0.154583139,0.176106687,0.206852645,0.210312376,0.203148013,0.169462462,0.152994709,0.151705015,0.147772672,0.147672814,0.147942987,0.137420736,0.133179996,0.137732661,0.144223841,0.151087824,0.159732942,0.137392129,0.153086386,0.176601592,0.162024995,0.16654559,0.170137414,0.18867781,0.186408174,0.190294372,0.192663578,0.199851046,0.213475926,0.221231868,0.216529057
Iceland,"Nuclear, Renewables, and Other",Quad Btu,0.033477767,0.035282063,0.038707966,0.040838287,0.041111016,0.040596424,0.043313484,0.043453503,0.04602117,0.047046326,0.047166454,0.047485149,0.047786025,0.04951219,0.04948841,0.051130284,0.0526788,0.056875907,0.063936784,0.073043988,0.079219827,0.083432039,0.085460443,0.086726476,0.087097246,0.087029163,0.098902303,0.118716765,0.162082955,0.163100752,0.164455894,0.1642074,0.165379195,0.172907472,0.169460896,0.173841543,0.168695145
India,"Nuclear, Renewables, and Other",Quad Btu,0.517152044,0.552158878,0.527731327,0.564016013,0.601787365,0.581574562,0.611747234,0.547921342,0.657943483,0.692704028,0.809750378,0.822156893,0.799170863,0.804464579,0.926312869,0.868354247,0.844114344,0.959223514,1.024631811,1.050017788,1.028396609,1.079858295,1.026991653,1.119751527,1.213777684,1.423975354,1.607214831,1.727512964,1.614924406,1.637639563,1.744812983,2.09780051,2.03349219,2.308965373,2.375186637,2.35769214,2.601682127
Indonesia,"Nuclear, Renewables, and Other",Quad Btu,0.024429773,0.031037961,0.029271182,0.033523022,0.037117967,0.044590167,0.061280254,0.054981034,0.069317091,0.08373103,0.081826257,0.086912895,0.105994451,0.095218355,0.097435612,0.109234133,0.117323956,0.085903588,0.135369202,0.132909562,0.152844214,0.18332313,0.165558157,0.156783336,0.163759462,0.17276855,0.161079694,0.181446528,0.195890337,0.202616823,0.262205601,0.215007025,0.215911682,0.254576862,0.252849823,0.237670296,0.309202733
Iran,"Nuclear, Renewables, and Other",Quad Btu,0.058169121,0.063936871,0.067269594,0.065392702,0.065522484,0.065036854,0.06450945,0.065367525,0.06598637,0.069108906,0.063084301,0.072767748,0.096974667,0.099816512,0.076004088,0.072718734,0.074165013,0.072078428,0.074279057,0.053924817,0.04251996,0.058319237,0.087242929,0.122817741,0.119387802,0.177476159,0.198117873,0.191455484,0.061371668,0.079503212,0.106562386,0.129346063,0.136519398,0.181824261,0.169211015,0.164661107,0.208687144
Iraq,"Nuclear, Renewables, and Other",Quad Btu,0.007009006,0.007220401,0.006442219,0.006094891,0.00624576,0.006390988,0.006907014,0.006388756,0.007128198,0.006758528,0.00607167,0.003155862,0.007043908,0.006282442,0.005528594,0.006030198,0.005424818,0.005290505,0.006125814,0.005766009,0.006735261,0.006671069,0.005776122,0.003537042,0.009195059,0.063685875,0.068500844,0.063451496,0.043388208,0.050242852,0.064213249,0.057321456,0.076060311,0.086820437,0.069964081,0.068413932,0.072020404
Ireland,"Nuclear, Renewables, and Other",Quad Btu,0.009847594,0.009526814,0.008772566,0.008837469,0.007830595,0.007523831,0.010373125,0.006446801,0.009251061,0.006643784,0.007921533,0.008525721,0.008374297,0.008099755,0.010239332,0.00713297,0.008294633,0.009094127,0.012380466,0.012047952,0.01342038,0.009701559,0.015897146,0.016188414,0.018538791,0.024988805,0.029413221,0.03204836,0.037864644,0.042665031,0.038248056,0.05531231,0.051855988,0.061910024,0.068784209,0.076865868,0.06857757
Israel,"Nuclear, Renewables, and Other",Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0.000312685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,"Nuclear, Renewables, and Other",Quad Btu,0.53442539,0.527857751,0.559246577,0.5664525,0.610338076,0.60789083,0.634625598,0.524648083,0.554930723,0.496162571,0.474511136,0.603172516,0.593616453,0.600257453,0.623740709,0.571126957,0.611561179,0.613185312,0.624644123,0.674511973,0.682020308,0.744189104,0.684235557,0.666338822,0.729496275,0.692570213,0.69233154,0.658954967,0.730467749,0.839986752,0.911290273,0.973817886,1.034286366,1.247955265,1.335776171,1.200068591,1.157602801
Jamaica,"Nuclear, Renewables, and Other",Quad Btu,0.001786737,0.001787463,0.001954899,0.002146084,0.00139896,0.001295428,0.001493985,0.002179574,0.002000778,0.001437862,0.002973299,0.002438253,0.002130246,0.002868003,0.002509874,0.002344358,0.002457079,0.002589861,0.001842998,0.002401121,0.001443479,0.001601163,0.001935959,0.002216644,0.001844202,0.001572097,0.003862883,0.003176354,0.002929344,0.003782912,0.003949297,0.003625315,0.004785379,0.00398553,0.00309638,0.004020668,0.005297336
Japan,"Nuclear, Renewables, and Other",Quad Btu,1.710366989,1.752334041,1.884608102,2.024492542,2.13356648,2.464615405,2.553876783,2.80777165,2.858552045,2.907108414,2.973660076,3.147484023,3.069116038,3.436669685,3.357872497,3.748227042,3.873124847,4.191334656,4.262090171,4.104171777,4.182681648,4.132765546,3.870027755,3.490220134,3.92238894,4.127932015,4.324059921,3.977518327,3.664947842,3.867193467,4.15767951,2.910668885,1.409780874,1.556774016,1.620534979,1.797797942,1.902469303
Jordan,"Nuclear, Renewables, and Other",Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0.000369398,0.000723618,0.000998376,0.000718565,0.001529367,0.000840288,0.001937907,0.001762254,0.002958729,0.001361007,0.001415502,0.002016996,0.003989687,0.003503556,0.00268761,0.002659698,0.001034193,0.001328274,0.001569132,0.003518974,0.006877469,0.002368099,0.002580506,0.003774467,0.00460163,0.010953938
Kazakhstan,"Nuclear, Renewables, and Other",Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0.181707556,0.196456629,0.136425471,0.126038119,0.111221299,0.095996383,0.092929139,0.088978984,0.103458329,0.108446499,0.111489359,0.104958158,0.097990897,0.101452889,0.09640725,0.099471122,0.096038191,0.092227359,0.11048108,0.108781594,0.101212148,0.094242831,0.097639782,0.110970124,0.129025067
Kenya,"Nuclear, Renewables, and Other",Quad Btu,0.013705353,0.016634495,0.018590895,0.020855401,0.019782314,0.022956289,0.023799228,0.025008078,0.029482297,0.030366655,0.031592217,0.034089495,0.034127192,0.036017716,0.036787771,0.037913557,0.040298165,0.038143677,0.038794084,0.030268644,0.021734185,0.033557123,0.039978236,0.044195208,0.041624093,0.042845973,0.0451006,0.046528658,0.039984969,0.036891294,0.049967424,0.04967011,0.05743074,0.05843806,0.071995997,0.078985814,0.072040619
Kiribati,"Nuclear, Renewables, and Other",Quad Btu,0.000336,0.000398,0.000396,0.000397,0.000292,0.000292,0.000218761,0.000257563,0.000258144,0.000257563,0.000257563,0.000260355,0.000258144,0.000257563,0.000257563,0.000257563,0.000258144,0.000257563,0.000257563,0.000257576,0.000496226,0.000423423,0.000620575,0.000645183,0.000691051,0.000905516,7.27E-06,0.000919604,3.00E-05,0.0008992,0.000895534,0.000827002,0.000816938,0.000826332,0.000829423,0.000900644,0.00087108
North Korea,"Nuclear, Renewables, and Other",Quad Btu,0.109617209,0.11263608,0.114103746,0.116565456,0.117453812,0.128328799,0.134836746,0.141706233,0.154199505,0.155727906,0.160486984,0.155603864,0.145582902,0.136806118,0.141997397,0.147706972,0.13093473,0.109748362,0.104879207,0.1061665,0.103864905,0.10913467,0.108671398,0.120442474,0.124838654,0.13062504,0.124607216,0.129925078,0.137070722,0.120956731,0.129861153,0.127317395,0.12743944,0.131406503,0.122053934,0.092672209,0.116775594
