year,month,investor,quantity,share,partner,sector,subsector,country,region
2005,June,Sinopec,120,40%,Synenco,Energy,Oil,Canada,North America
2005,June,China Railway Construction and Genertec,1270,,Cengiz and IC Ictas,Transport,Rail,Turkey,West Asia
2005,July,Sinohydro,130,,,Energy,Hydro,Myanmar,East Asia
2005,July,Nanjing Auto,100,,MG,Transport,Autos,Britain,Europe
2005,August,CNPC,4200,67%,PetroKazakhstan,Energy,Oil,Kazakhstan,West Asia
2005,September,Sinopec,350,,Aker Kvaerner,Chemicals,,Saudi Arabia,Arab World
2005,September,CNPC and Sinopec,1420,,EnCana,Energy,Oil,Ecuador,South America
2005,October,ChemChina,180,100%,Qenos,Chemicals,,Australia,Australia
2005,October,Sinosteel,140,50%,Midwest,Metals,Steel,Australia,Australia
2005,October,China Communications Construction,200,,,Transport,Autos,Indonesia,East Asia
2005,October,China Nonferrous,300,,Kazakhstan Aluminum,Metals,Aluminum,Kazakhstan,West Asia
2005,November,CITIC,940,,,Real estate,Construction,Venezuela,South America
2005,December,Sinohydro,210,,,Agriculture,,Algeria,Arab World
2005,December,Sinoma,580,,Saudi Cement,Real estate,Construction,Saudi Arabia,Arab World
2005,December,CNPC,290,16%,Petro-Canada,Energy,Oil,Syria,Arab World
2005,December,CITIC,430,,Brazil Power,Energy,Coal,Brazil,South America
2005,December,CITIC,900,,,Metals,Aluminum,Iran,West Asia
2006,January,State Construction Engineering,300,,,Real estate,Construction,UAE,Arab World
2006,January,ChemChina,480,100%,Adisseo,Agriculture,,France,Europe
2006,January,CNOOC,2270,45%,South African Petroleum,Energy,,Nigeria,Sub-Saharan Africa
2006,February,Sinohydro,540,,,Real estate,Construction,Qatar,Arab World
2006,February,Sinohydro,280,,,Energy,Hydro,Cambodia,East Asia
2006,March,CITIC,2920,,Mineralogy,Metals,Steel,Australia,Australia
2006,March,Sinomach,460,,,Energy,Coal,Sri Lanka,West Asia
2006,April,Sinopec,1290,,Petrobras,Energy,Gas,Brazil,South America
2006,April,Group of Shanghai state firms,1300,,,Real estate,Property,Russia,West Asia
2006,May,CITIC and China Railway Construction,6200,,,Transport,Autos,Algeria,Arab World
2006,May,Sinopec,730,75%,Sonangol,Energy,Oil,Angola,Sub-Saharan Africa
2006,May,MCC,120,,,Other,Timber,Russia,West Asia
2006,June,Weihai,160,,,Transport,Aviation,Congo,Sub-Saharan Africa
2006,June,Sinopec,3490,97%,Rosneft,Energy,,Russia,West Asia
2006,June,Tebian Electric Apparatus,340,,,Energy,,Tajikistan,West Asia
2006,July,State Construction Engineering,260,,,Transport,Aviation,Algeria,Arab World
2006,July,CITIC,100,51%,Kuwait Petroleum,Energy,Oil,Indonesia,East Asia
2006,July,Dongfang Electric,330,,Marubeni,Energy,Coal,Vietnam,East Asia
2006,July,Sinopec,2800,,North West Shelf Partners,Energy,Oil,Iran,West Asia
2006,July,CNPC,500,,Rosneft,Energy,,Russia,West Asia
2006,August,Suntech,110,67%,MSK,Energy,Alternative,Japan,East Asia
2006,September,Sinopec,430,50%,Omimex,Energy,Oil,Colombia,South America
2006,September,"ZTE, Huawei, and China Communications Construction",2400,,Ethiopia Telecom,Technology,Telecom,Ethiopia,Sub-Saharan Africa
2006,October,CITIC and Chinalco,940,,,Metals,Aluminum,Egypt,Arab World
2006,October,Jiangxi Copper,110,75%,bcMetals,Metals,Copper,Canada,North America
2006,October,CITIC,1910,,Nations Energy,Energy,,Kazakhstan,West Asia
2006,November,Genertec,220,,,Real estate,Construction,Yemen,Arab World
2006,November,China National Chemical Engineering,180,,,Energy,Coal,Indonesia,East Asia
2006,November,Three Gorges,140,,,Energy,Hydro,Laos,East Asia
2006,November,Southern Power Grid and China Power Investment,2010,,Vinacomin,Energy,Coal,Vietnam,East Asia
2006,November,China Development Bank,800,1%,Anglo-American,Metals,,Britain,Europe
2006,November,CITIC,340,,ThyssenKrupp and CVRD,Metals,Steel,Brazil,South America
2006,November,Export-Import Bank,2000,,,Metals,,DRC,Sub-Saharan Africa
2006,November,Sinosteel,230,50%,Samancor Chrome,Metals,Steel,South Africa,Sub-Saharan Africa
2006,November,China Nonferrous,310,,(Chambishi),Metals,Copper,Zambia,Sub-Saharan Africa
2006,November,China Communications Construction,490,,,Transport,Autos,Pakistan,West Asia
2006,December,China Power Investment,260,,Truba Alam Manunggal,Energy,Coal,Indonesia,East Asia
2006,December,Bank of China,970,,Singapore Aircraft Leasing,Transport,Aviation,Singapore,East Asia
2006,December,Sichuan Changhong Electric,100,75%,Sterope investments,Finance,Investment,Netherlands,Europe
2006,December,Sinohydro,100,,,Agriculture,,Angola,Sub-Saharan Africa
2006,December,Sinohydro,130,,,Transport,Autos,Ethiopia,Sub-Saharan Africa
2007,January,State Construction Engineering,350,,,Real estate,Construction,UAE,Arab World
2007,January,ChemChina,700,,Rhodia,Chemicals,,France,Europe
2007,January,CNPC,200,50%,EnCana,Energy,Oil,Chad,Sub-Saharan Africa
2007,January,Shandong Electric,2860,,,Energy,Coal,India,West Asia
2007,January,China Mobile,280,89%,Paktel,Technology,Telecom,Pakistan,West Asia
2007,February,"Zijin, China Nonferrous, and Xiamen C&D",190,"45%, 35%, 20%",Monterrico,Metals,Copper,Peru,South America
2007,February,Sinopec,100,,Syntroleum,Energy,,USA,USA
2007,March,State Construction Engineering,410,,,Real estate,Construction,Kuwait,Arab World
2007,March,Gezhouba,400,,,Real estate,Construction,Libya,Arab World
2007,March,China National Chemical Engineering,540,,PLN,Energy,Coal,Indonesia,East Asia
2007,March,Sinosteel,500,,,Metals,Steel,India,West Asia
2007,March,Sinohydro and China Communications Construction,360,,,Transport,Shipping,Sri Lanka,West Asia
2007,April,Sinomach and China Nonferrous,3990,,Western Way,Metals,Aluminum,Saudi Arabia,Arab World
2007,April,Sinohydro,170,85%,Electricite de Laos,Energy,Hydro,Laos,East Asia
2007,April,Sinomach,650,,,Energy,Hydro,Equatorial Guinea,Sub-Saharan Africa
2007,April,Sinohydro,600,,,Energy,Hydro,Ghana,Sub-Saharan Africa
2007,May,LinkGlobal Logistics,130,,Parchim Airport,Transport,Aviation,Germany,Europe
2007,May,CIC,3030,9%,Blackstone,Finance,Investment,USA,USA
2007,May,China Mobile,180,11%,Paktel,Technology,Telecom,Pakistan,West Asia
2007,May,Sinomach,150,,,Energy,,Pakistan,West Asia
2007,June,Sinoma,370,,,Real estate,Construction,Egypt,Arab World
2007,June,China Communications Construction,410,,,Transport,Shipping,Kuwait,Arab World
2007,June,Sinohydro,1700,,,Energy,Hydro,Laos,East Asia
2007,June,China Ocean Shipping,140,80%,Burg Industries,Transport,Shipping,Netherlands,Europe
2007,June,Chinalco,790,,Peru Copper,Metals,Copper,Peru,South America
2007,July,CITIC,100,8%,Macarthur Coal,Energy,Coal,Australia,Australia
2007,July,China Development Bank,3040,3%,Barclays,Finance,Banking,Britain,Europe
2007,July,Golden Dragon,100,,,Metals,copper,Mexico,North America
2007,July,China Communications Construction,250,,,Transport,Autos,Congo,Sub-Saharan Africa
2007,August,China Railway Engineering,310,50%,,Transport,Rail,Mauritania,Arab World
2007,August,Dongfang Electric and China Power Investment,2010,,PLN,Energy,Coal,Indonesia,East Asia
2007,August,Southern Power Grid,340,,,Energy,Hydro,Laos,East Asia
2007,September,Ansteel,330,50%,Gindalbie Metals,Metals,Steel,Australia,Australia
2007,September,Shenzhen Energy and China Development Bank,140,,Sunon Asogli Power,Energy,Gas,Ghana,Sub-Saharan Africa
2007,September,Sany Heavy,150,,,Real estate,Construction,USA,USA
2007,September,Sinomach,210,,,Energy,Gas,Azerbaijan,West Asia
2007,September,Huawei,150,,Bharti Airtel,Technology,Telecom,Sri Lanka,West Asia
2007,October,China Ocean Shipping,150,20%,,Transport,Shipping,Egypt,Arab World
2007,October,China Electronics Technology,100,50%,Pakistan Infrastructure Development,Transport,Rail,Jordan,Arab World
2007,October,ICBC,5600,20%,Standard Bank,Finance,Banking,South Africa,Sub-Saharan Africa
2007,October,Sinomach,160,,Tanzania Super,Agriculture,,Tanzania,Sub-Saharan Africa
2007,October,Minsheng Bank,200,10%,UCBH,Finance,Banking,USA,USA
2007,October,Gezhouba,210,,Iran Water and Power,Energy,Hydro,Iran,West Asia
2007,October,China Nonferrous,110,,Jahad Tahghighat,Metals,Aluminum,Iran,West Asia
2007,November,Chinalco,1200,40%,"Binladin, MMC",Metals,Aluminum,Saudi Arabia,Arab World
2007,November,Guizhou Hongfu,350,,,Chemicals,,Saudi Arabia,Arab World
2007,November,China Communications Construction,230,,,Transport,Shipping,Saudi Arabia,Arab World
2007,November,CNPC,690,,Vinachem,Agriculture,,Vietnam,East Asia
2007,November,Ping An,2700,4%,Fortis,Finance,,Belgium,Europe
2007,November,Youngor,120,100%,Kellwood,Other,Textiles,USA,USA
2007,November,MCC and Jiangxi Copper,2870,,,Metals,Copper,Afghanistan,West Asia
2007,December,China Power Investment,920,,,Energy,,Iraq,Arab World
2007,December,Sinohydro,140,,,Real estate,Construction,UAE,Arab World
2007,December,State Grid-led consortium,1580,40%,Transco,Energy,,Philippines,East Asia
2007,December,CITIC,620,,,Real estate,Construction,Belarus,Europe
2007,December,Minmetals and Jiangxi Copper,450,,Northern Peru Copper,Metals,Copper,Peru,South America
2007,December,Sinohydro,120,,,Real estate,Construction,Angola,Sub-Saharan Africa
2007,December,Sinohydro,140,,,Transport,Autos,Kenya,Sub-Saharan Africa
2007,December,Sinohydro,160,,,Metals,,Niger,Sub-Saharan Africa
2007,December,Sinosteel,100,92%,Zimasco,Metals,Steel,Zimbabwe,Sub-Saharan Africa
2007,December,CIC,5000,10%,Morgan Stanley,Finance,Investment,USA,USA
2007,December,Sinopec,2010,51%,National Iranian Oil,Energy,Oil,Iran,West Asia
2007,December,CNPC,1540,,,Energy,Gas,Kazakhstan,West Asia
2007,December,CNPC,620,,,Energy,Gas,Uzbekistan,West Asia
2008,January,China Communications Construction,290,,,Transport,Shipping,Mauritania,Arab World
2008,January,SAFE,180,1%,three Australian banks,Finance,Banking,Australia,Australia
2008,January,China Communications Construction,160,,,Transport,Shipping,Vietnam,East Asia
2008,January,Jinchuan,210,,Tyler Resources,Metals,,Mexico,North America
2008,January,Wuxi PharmaTech,160,100%,AppTec Lab Services,Technology,,USA,USA
2008,January,MCC,200,,,Real estate,Construction,Georgia,West Asia
2008,February,China Railway Construction,2600,,,Transport,Rail,Libya,Arab World
2008,February,Sinochem,470,17%,Soco,Energy,Oil,Yemen,Arab World
2008,February,Chinalco,12800,11%,Rio Tinto,Metals,Aluminum,Australia,Australia
2008,February,MCC,370,,Cape Lambert Iron,Metals,Steel,Australia,Australia
2008,February,Sinomach,1350,,,Energy,,Laos,East Asia
2008,February,Minmetals and Xinxing Iron,1200,"20%, 35%",Kelachandra and Manasara,Metals,Steel,India,West Asia
2008,March,China Railway Engineering,260,,,Transport,Rail,Morocco,Arab World
2008,March,China National Building Materials,160,,Oman Cement,Real estate,Construction,Oman,Arab World
2008,March,Sinopec,560,60%,AED,Energy,Oil,Australia,Australia
2008,March,Huaneng Power,3040,,Temasek,Energy,,Singapore,East Asia
2008,March,China Railway Engineering,100,,,Real estate,Construction,Angola,Sub-Saharan Africa
2008,March,China Life,260,1%,Visa,Finance,,USA,USA
2008,March,CIC,100,,Visa,Finance,,USA,USA
2008,March,Mindray Medical,200,,Datascope,Technology,Medical,USA,USA
2008,April,Three Gorges,100,,,Agriculture,,Sudan,Arab World
2008,April,Sinhydro and Three Gorges,400,,,Energy,Hydro,Sudan,Arab World
2008,April,CNOOC,130,50%,Husky Energy,Energy,Gas,Indonesia,East Asia
2008,April,Hopu,150,,Lung Ming,Metals,Steel,Mongolia,East Asia
2008,April,SAFE,2010,1%,BP,Energy,,Britain,Europe
2008,April,SAFE,2800,2%,Total,Energy,,France,Europe
2008,April,CIC,3200,80%,JC Flowers fund,Finance,Investment,USA,USA
2008,May,Datang,330,,Cambodia Hydropower and Cambodia Grid,Energy,Hydro,Cambodia,East Asia
2008,May,Chinalco,2160,,,Metals,Copper,Peru,South America
2008,May,MCC,290,,,Transport,Autos,Sri Lanka,West Asia
2008,June,Michelle Corp.,500,,,Energy,Hydro,Cambodia,East Asia
2008,June,Sinomach,540,,,Energy,Hydro,Cambodia,East Asia
2008,June,Zoomlion,250,60%,Compagnia Italiana Forme Acciaio,Real estate,Construction,Italy,Europe
2008,June,CITIC,3540,,,Real estate,Construction,Angola,Sub-Saharan Africa
2008,June,China National Nuclear,190,,,Metals,,Niger,Sub-Saharan Africa
2008,June,CNPC,4990,,,Energy,Oil,Niger,Sub-Saharan Africa
2008,June,COFCO,140,5%,Smithfield Foods,Agriculture,,USA,USA
2008,June,SAFE,2510,20%,TPG fund,Finance,Investment,USA,USA
2008,July,Guangdong Overseas Construction,610,,King Khalid University,Real estate,Construction,Saudi Arabia,Arab World
2008,July,Sinosteel,1320,51%,Midwest,Metals,Steel,Australia,Australia
2008,July,Sinomach,120,,,Energy,,Malaysia,East Asia
2008,July,China Nonferrous,810,50%,Tagaung Taung,Metals,,Myanmar,East Asia
2008,July,Sinochem,200,51%,GMG Global,Agriculture,,Singapore,East Asia
2008,July,MCC,520,,Singapore Resorts,Real estate,Property,Singapore,East Asia
2008,July,Chinalco,460,,Vinacomin,Metals,Aluminum,Vietnam,East Asia
2008,July,CNOOC,2490,,Awilco Offshore,Energy,Oil,Norway,Europe
2008,July,Sinomach,140,,,Agriculture,,Venezuela,South America
2008,July,China Railway Engineering,1190,28%,Congo Simco,Metals,Copper,DRC,Sub-Saharan Africa
2008,July,MCC and Sinohydro,1350,40%,Congo Simco,Metals,Copper,DRC,Sub-Saharan Africa
2008,July,China Communications Construction,440,,,Transport,Shipping,Nigeria,Sub-Saharan Africa
2008,July,China Communications Construction,990,,African Finance Corporation,Transport,Autos,Nigeria,Sub-Saharan Africa
2008,August,Shenhua,260,,,Energy,Coal,Australia,Australia
2008,August,Sinomach,240,,,Energy,,Indonesia,East Asia
2008,August,Sinohydro,300,,,Energy,Hydro,Tajikistan,West Asia
2008,September,China Communications Construction,220,,,Transport,Shipping,Egypt,Arab World
2008,September,Sinopec,1990,,Tanganyika Oil,Energy,Oil,Syria,Arab World
2008,September,Jiangsu Shagang and RGL Group,360,45%,Grange Resources,Metals,Steel,Australia,Australia
2008,September,China Ocean Shipping,330,29%,Yantai Raffles Shipyard,Transport,Shipping,Singapore,East Asia
2008,September,Sany Heavy,140,,,Real estate,Construction,Germany,Europe
2008,October,Three Gorges led consortium,880,,,Energy,Hydro,Malaysia,East Asia
2008,October,China Communications Construction,680,,,Transport,Autos,Malaysia,East Asia
2008,October,Sinoma,210,,Lafarge,Real estate,Construction,Ukraine,Europe
2008,October,MCC,150,,,Other,Utilities,Mozambique,Sub-Saharan Africa
2008,October,Sinohydro,290,,Zesco,Energy,Hydro,Zambia,Sub-Saharan Africa
2008,October,CIC,200,3%,Blackstone,Finance,Investment,USA,USA
2008,October,Sinoma,450,,Holcim,Real estate,Construction,Azerbaijan,West Asia
2008,October,Three Gorges,160,,,Energy,Hydro,India,West Asia
2008,October,ZTE,400,,Aircel,Technology,Telecom,India,West Asia
2008,October,Minmetals,300,,Mechel,Metals,Steel,Russia,West Asia
2008,October,Datong,760,,Herma Enerji,Energy,Coal,Turkey,West Asia
2008,November,CNPC,3020,,,Energy,Oil,Iraq,Arab World
2008,November,Sinohydro,250,,,Energy,Coal,Indonesia,East Asia
2008,November,MCC,1020,,,Metals,Copper,Philippines,East Asia
2008,November,China Ocean Shipping,4560,,,Transport,Shipping,Greece,Europe
2008,November,Zhongmei Engineering,120,,,Transport,Autos,Ethiopia,Sub-Saharan Africa
2008,November,Sinohydro,400,,,Energy,Hydro,Gabon,Sub-Saharan Africa
2008,November,Shenzhen Energy,2400,,First Bank,Energy,Gas,Nigeria,Sub-Saharan Africa
2008,November,Three Gorges,240,,,Transport,Shipping,Pakistan,West Asia
2008,December,CNPC,3290,,International Petroleum Investment,Energy,Oil,UAE,Arab World
2008,December,State Construction Engineering,260,,,Transport,Autos,UAE,Arab World
2008,December,China Communications Construction,200,,African Development Bank,Transport,Autos,Gabon,Sub-Saharan Africa
2008,December,Wuhan Iron and Steel and China Development Bank,110,,,Metals,Steel,Liberia,Sub-Saharan Africa
2009,January,Sinohydro,220,,,Transport,Autos,Sudan,Arab World
2009,January,Huawei,240,,,Technology,Telecom,Costa Rica,North America
2009,January,Sinomach,300,,,Energy,,Angola,Sub-Saharan Africa
2009,January,Sinohydro,100,,,Energy,Hydro,Botswana,Sub-Saharan Africa
2009,January,Sinohydro,160,,,Energy,Hydro,Mali,Sub-Saharan Africa
2009,January,CNPC,1760,,National Iranian Oil,Energy,Oil,Iran,West Asia
2009,January,Xinjiang Guanghui,250,49%,Tarbagatay Munay,Energy,,Kazakhstan,West Asia
2009,January,China National Chemical Engineering,440,,European Nickel,Metals,,Turkey,West Asia
2009,February,China Railway Construction,390,21%,,Transport,Rail,Saudi Arabia,Arab World
2009,February,China Communications Construction,100,,,Transport,Shipping,Saudi Arabia,Arab World
2009,February,Hunan Valin,770,17%,Fortescue Metals,Metals,Steel,Australia,Australia
2009,February,Sinomach,580,,,Energy,,Philippines,East Asia
2009,February,Shougang,990,,,Metals,Steel,Peru,South America
2009,February,China Communications Construction,1130,,,Transport,Shipping,Angola,Sub-Saharan Africa
2009,February,Sinomach,140,,,Energy,Hydro,Madagascar,Sub-Saharan Africa
2009,March,Sinomach,100,,,Energy,Alternative,Czech Republic,Europe
2009,March,Wuhan Iron and Steel,240,20%,Consolidated Thompson,Metals,Steel,Canada,North America
2009,March,Sinoma,140,,George Forrest Congo,Real estate,Construction,Congo,Sub-Saharan Africa
2009,March,Sinohydro,370,,Communauté Electrique du Bénin,Energy,Hydro,Togo,Sub-Saharan Africa
2009,March,CIC,800,,Morgan Stanley,Real estate,Property,USA,USA
2009,March,State Construction Engineering,410,,,Transport,Autos,USA,USA
2009,March,CNOOC-led consortium,3350,,,Energy,Gas,Iran,West Asia
2009,April,Sinopec,350,,Kuwait Oil,Energy,,Kuwait,Arab World
2009,April,Tianjin Pipe,1010,,,Metals,Steel,USA,USA
2009,April,CNPC,2600,50%,Central Asia Petroleum,Energy,Gas,Kazakhstan,West Asia
2009,May,Sinohydro,160,,,Agriculture,,Qatar,Arab World
2009,May,Guangdong Rising Asset Management,140,20%,PanAust,Metals,,Australia,Australia
2009,May,HNA,150,,Allco Finance,Finance,Investment,Australia,Australia
2009,May,MCC,520,10%,Mineralogy,Energy,Coal,Australia,Australia
2009,May,MCC,1540,,Palmer's Mineralology,Energy,Coal,Australia,Australia
2009,May,CNPC,1020,46%,Singapore Petroleum,Energy,Oil,Singapore,East Asia
2009,May,China Railway Engineering,350,,,Transport,Rail,Vietnam,East Asia
2009,May,CNOOC and Sinopec,320,,Talisman Energy,Energy,Oil,Trinidad-Tobago,North America
2009,May,Najinzhao,100,,Cardero,Metals,Steel,Peru,South America
2009,May,China Nonferrous,370,,Muliashi,Metals,Copper,Zambia,Sub-Saharan Africa
2009,May,Huawei,200,,Unitech,Technology,Telecom,India,West Asia
2009,June,China Railway Construction,2570,,,Transport,Rail,Algeria,Arab World
2009,June,Ansteel,130,24%,Gindalbie Metals,Metals,Steel,Australia,Australia
2009,June,Minmetals,1390,51%,Oz Minerals,Metals,,Australia,Australia
2009,June,CNPC,1240,,,Energy,,Myanmar,East Asia
2009,June,Sinopec,7200,100%,Addax Petroleum,Energy,,Switzerland,Europe
2009,June,Sinomach,670,,,Energy,Hydro,Zambia,Sub-Saharan Africa
2009,June,CIC,1210,1%,Morgan Stanley,Finance,Banking,USA,USA
2009,June,CIC,500,,Blackstone,Finance,Investment,USA,USA
2009,June,CIC,710,,Blackrock,Finance,Investment,USA,USA
2009,June,Sinomach,850,,,Energy,Coal,Sri Lanka,West Asia
2009,July,Tianjin Development,280,,,Real estate,Property,Egypt,Arab World
2009,July,Shandong Electric Power,1800,,Saudi Electricity Company,Energy,Oil,Saudi Arabia,Arab World
2009,July,China Railway Construction,530,,,Real estate,Construction,Saudi Arabia,Arab World
2009,July,Genertec,270,,,Energy,,Sudan,Arab World
2009,July,China National Building Materials,110,,Les Ciments de Bizerte,Real estate,Construction,Tunisia,Arab World
2009,July,Chinalco,1500,1%,Rio Tinto,Metals,Aluminum,Australia,Australia
2009,July,Shenhua,330,,,Energy,Coal,Indonesia,East Asia
2009,July,Three Gorges,110,,,Agriculture,,Philippines,East Asia
2009,July,Wuhan Kaidi Electric,200,,Vietnam National Coal,Energy,Coal,Vietnam,East Asia
2009,July,CIC,370,1%,Diageo,Agriculture,,Britain,Europe
2009,July,CIC,1500,17%,Teck Resources,Metals,Copper,Canada,North America
2009,July,China Railway Engineering,7500,,,Transport,Rail,Venezuela,South America
2009,July,Sinohydro,2420,,,Energy,Hydro,Ethiopia,Sub-Saharan Africa
2009,July,"Taiyuan Iron, China Development Bank, Shanxi Coking Coal, and Tianli Enterprises",740,"34, 33, 21, 12%",,Real estate,Property,Mauritius,Sub-Saharan Africa
2009,July,Xiyang Group,480,,,Metals,Steel,Russia,West Asia
2009,August,State Construction Engineering,260,,,Transport,Autos,Algeria,Arab World
2009,August,CNOOC,100,,Qatar Petroleum,Energy,Gas,Qatar,Arab World
2009,August,CIC,1090,,Goodman Group,Real estate,Property,Australia,Australia
2009,August,Yanzhou Coal,2950,100%,Felix Resources,Energy,Coal,Australia,Australia
2009,August,CIC,450,19%,Songbird Estates,Real estate,Property,Britain,Europe
2009,August,Sinochem,880,100%,Emerald Energy,Energy,,Britain,Europe
2009,August,CNPC,1740,60%,Athabasca Oil Sands,Energy,Oil,Canada,North America
2009,August,CNPC,470,,,Energy,Oil,Chad,Sub-Saharan Africa
2009,September,CNPC,1160,50%,Singapore Petroleum,Energy,Oil,Singapore,East Asia
2009,September,ICBC,530,,ACL Bank,Finance,Banking,Thailand,East Asia
2009,September,Unicom,1000,1%,Telefonica,Technology,Telecom,Spain,Europe
2009,September,China State Construction Engineering,100,3%,Baha Mar Resort,Real estate,Property,Bahamas,North America
2009,September,China Communications Construction,120,,,Transport,Autos,Equatorial Guinea,Sub-Saharan Africa
2009,September,Gezhouba,410,,Ethiopian Electric Power Corporation,Energy,Hydro,Ethiopia,Sub-Saharan Africa
2009,September,China Power Investment,350,40%,Goss International,Other,,USA,USA
2009,September,CIC,600,,Oaktree Capital Management distressed asset fund,Real estate,Property,USA,USA
2009,September,CIC,600,,Goldman Sachs distressed asset fund,Real estate,Property,USA,USA
2009,September,CIC,940,11%,JSC KazMunaiGas E&P,Energy,Gas,Kazakhstan,West Asia
2009,October,CNPC,260,,,Energy,Oil,Sudan,Arab World
2009,October,China Communications Construction,100,,,Transport,Shipping,Sudan,Arab World
2009,October,CNPC,5590,37%,BP and Iraq South Oil,Energy,Oil,Iraq,Arab World
2009,October,CIC,250,13%,South Gobi Energy,Energy,Coal,Mongolia,East Asia
2009,October,China Power Investment,1380,,Electricite de Vietnam,Energy,Coal,Vietnam,East Asia
2009,October,China Communications Construction,100,,,Transport,Shipping,Brazil,South America
2009,October,Sinoma,230,,Dangote,Real estate,Construction,Nigeria,Sub-Saharan Africa
2009,October,China Railway Construction,850,,,Transport,Rail,Nigeria,Sub-Saharan Africa
2009,October,CIC,300,45%,Nobel Holdings,Energy,Oil,Russia,West Asia
2009,November,Sinoma,150,,,Real estate,Construction,Saudi Arabia,Arab World
2009,November,BaoSteel,240,15%,Aquila Resources,Metals,Steel,Australia,Australia
2009,November,Wuhan Iron and Steel,250,15%,Centrex Metals,Metals,Steel,Australia,Australia
2009,November,Great Wall Motor,120,,Litex Motors,Transport,Autos,Bulgaria,Europe
2009,November,Wuhan Iron and Steel,400,22%,MMX Mineracao,Metals,Steel,Brazil,South America
2009,November,Sinomach,970,,,Energy,,Botswana,Sub-Saharan Africa
2009,November,China Communications Construction,610,,,Transport,Autos,Ethiopia,Sub-Saharan Africa
2009,November,Beijing West Industries,100,,Delphi,Transport,Autos,USA,USA
2009,November,CIC,1580,15%,AES,Energy,,USA,USA
2009,November,CNOOC,100,,Statoil,Energy,Oil,USA,USA
2009,November,State Construction Engineering,100,,,Transport,Rail,USA,USA
2009,November,Harbin Electric,600,,,Energy,,Pakistan,West Asia
2009,November,China Communications Construction,210,,,Transport,Aviation,Sri Lanka,West Asia
2009,December,CNPC,240,,State Oil Marketing Organization and South Oil Company,Energy,Oil,Iraq,Arab World
2009,December,Sun Paper,200,,,Other,Timber,Laos,East Asia
2009,December,CIC,500,,CVRD (Vale),Metals,Steel,Brazil,South America
2009,December,Shunde Rixin and Minmetals,1910,70%,,Metals,Steel,Chile,South America
2009,December,China Railway Construction and China Nonferrous,650,100%,Corriente Resources,Metals,Copper,Ecuador,South America
2009,December,China Communications Construction,500,,,Transport,Shipping,Cameroon,Sub-Saharan Africa
2009,December,Sinohydro,460,,,Energy,Hydro,Senegal,Sub-Saharan Africa
2009,December,BAIC,200,,Saab US,Transport,Autos,USA,USA
2009,December,Jinjiang International Hotels,150,50%,Interstate Hotel and Resorts,Real estate,Property,USA,USA
2009,December,Sinohydro,350,,,Transport,Autos,Bangladesh,West Asia
2009,December,Shanghai Auto,350,50%,GM India,Transport,Autos,India,West Asia
2009,December,China Mobile,500,,,Technology,Telecom,Pakistan,West Asia
2009,December,CNPC,3130,,,Energy,Gas,Turkmenistan,West Asia
2009,December,"Baiyin Non-Ferrous, CITIC & Chang Xin",190,60%,Oxus,Metals,,Uzbekistan,West Asia
2010,January,China Communications Construction,130,,,Agriculture,,UAE,Arab World
2010,January,Gezhouba,600,,Philippine Green Energy,Energy,Hydro,Philippines,East Asia
2010,January,Three Gorges,110,,,Transport,Autos,Cameroon,Sub-Saharan Africa
2010,January,Norinco,460,,Daghestan Public Aviation Parts,Transport,Autos,Russia,West Asia
2010,February,Gezhouba,200,,,Other,Utilities,Mauritania,Arab World
2010,February,Chinalco,350,35%,GIIG,Metals,Aluminum,Malaysia,East Asia
2010,February,CIC,960,2%,Apax Finance,Finance,Investment,Britain,Europe
2010,February,Wanhua Industrial,190,,BorsodChem,Chemicals,,Hungary,Europe
2010,February,Sany Heavy,200,,,Real estate,Construction,Brazil,South America
2010,February,CIC,1500,,"Lexington Partners, Pantheon Ventures, Goldman Sachs",Finance,Investment,USA,USA
2010,February,Gezhouba and Xinjiang International Economic Cooperation,730,,Kazakhstan Natural Gas Technology,Energy,Hydro,Kazakhstan,West Asia
2010,March,China Poly,100,,Poly Hon Done Pelagic Fishery,Agriculture,,Mauritania,Arab World
2010,March,China National Chemical Engineering,500,,,Agriculture,,Sudan,Arab World
2010,March,CNPC,1580,50%,Arrow Energy,Energy,Gas,Australia,Australia
2010,March,China Railway Engineering,4800,,Bhakta Hill Pan Pacific Railway,Transport,Rail,Indonesia,East Asia
2010,March,Dongfang Electric,1400,,Electricite de Vietnam,Energy,Coal,Vietnam,East Asia
2010,March,Geely Auto,1800,,Ford,Transport,Autos,Sweden,Europe
2010,March,Geely Auto,900,,Volvo,Transport,Autos,Sweden,Europe
2010,March,State Construction Engineering,2500,,,Real estate,Construction,Bahamas,North America
2010,March,CIC,200,,Brookefield,Finance,Investment,Canada,North America
2010,March,CNOOC,3100,50%,Bridas,Energy,,Argentina,South America
2010,March,East China Mineral Exploration and Development Bureau (Jiangsu),1200,,,Metals,Steel,Brazil,South America
2010,March,Sinomach,500,,,Transport,Autos,Cameroon,Sub-Saharan Africa
2010,March,Sinohydro,800,,,Energy,Hydro,Cameroon,Sub-Saharan Africa
2010,March,First Auto Works and China Development Bank,100,,,Transport,Autos,South Africa,Sub-Saharan Africa
2010,March,Sinomach,420,,,Real estate,Construction,Zambia,Sub-Saharan Africa
2010,March,CNPC,180,51%,INOVA Geophysical Equipment,Energy,,USA,USA
