ID,Link (Data),Min or Max,mm-ssStar_Wars__Episode_I___The_Phantom_Menace,mm-ssStar_Wars__Episode_II___Attack_of_the_Clones,mm-ssStar_Wars__Episode_III___Revenge_of_the_Sith,mm-ssStar_Wars__Episode_IV___A_New_Hope,mm-ssStar_Wars__Episode_V___The_Empire_Strikes_Back,mm-ssStar_Wars__Episode_VI___Return_of_the_Jedi,mm-ssStar_Wars__Episode_VII___The_Force_Awakens,mm-ssStar_Wars__Episode_VIII___The_Last_Jedi,mm-ssStar_Wars__The_Rise_of_Skywalker,Step 1,Step 10,Step 11,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Total mm-ss,CalculationN,Path (Model),Rogue_One__A_Star_Wars_Story,Sigmoid,Solo__A_Star_Wars_Story,Star_Wars__Episode_I___The_Phantom_Menace,Star_Wars__Episode_II___Attack_of_the_Clones,Star_Wars__Episode_III___Revenge_of_the_Sith,Star_Wars__Episode_IV___A_New_Hope,Star_Wars__Episode_V___The_Empire_Strikes_Back,Star_Wars__Episode_VI___Return_of_the_Jedi,Star_Wars__Episode_VII___The_Force_Awakens,Star_Wars__Episode_VIII___The_Last_Jedi,Star_Wars__The_Rise_of_Skywalker,t (Model),Total
Thing 015,link,Min,3:30,9:45,11:45,,12:30,4:00,,2:00,,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,0:43:30,7.193877551,0,,0.002472623,,210,585,705,,750,240,,120,,-6,2610
Thing 014,link,Min,,,,,,,43:00,30:15,55:45,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,2:9:0,,0,,0.002472623,,,,,,,,2580,1815,3345,-6,7740
Thing 013,link,Min,7:15,5:15,5:00,18:00,11:15,7:15,1:15,1:00,2:00,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,0:58:15,3.061224490,0,,0.002472623,,435,315,300,1080,675,435,75,60,120,-6,3495
Thing 012,link,Min,,,,,,,8:45,12:15,25:45,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,0:46:45,,0,,0.002472623,,,,,,,,525,735,1545,-6,2805
Thing 011,link,Min,21:30,32:15,18:15,,,,,,,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,1:12:0,11.173469388,0,,0.002472623,,1290,1935,1095,,,,,,,-6,4320
Thing 010,link,Min,21:15,34:00,37:15,17:30,1:00,2:15,,,,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,1:53:15,22.806122449,0,,0.002472623,,1275,2040,2235,1050,60,135,,,,-6,6795
Thing 009,link,Min,,,0:45,37:30,34:45,34:15,1:00,21:15,2:45,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,2:12:15,0.459183673,0,,0.002472623,,,,45,2250,2085,2055,60,1275,165,-6,7935
Thing 008,link,Min,,,0:30,13:30,22:45,21:15,6:15,8:45,4:15,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,1:17:15,0.306122449,0,15,0.002472623,,,,30,810,1365,1275,375,525,255,-6,4635
Thing 007,link,Min,,,,19:30,23:30,17:45,20:30,,1:45,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,1:23:0,,0,,0.002472623,3330,,,,1170,1410,1065,1230,,105,-6,4980
Thing 006,link,Min,,,,,,,31:45,17:30,24:45,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,1:14:0,,0,,0.002472623,,,,,,,,1905,1050,1485,-6,4440
Thing 005,link,Min,7:15,4:00,24:45,,1:00,6:15,,,6:00,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,0:49:15,15.153061224,0,,0.002472623,,435,240,1485,,60,375,,,360,-6,2955
Thing 004,link,Min,,,1:00,11:00,16:30,10:30,8:30,2:00,9:15,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,0:58:45,0.612244898,0,,0.002472623,1290,,,60,660,990,630,510,120,555,-6,3525
Thing 003,link,Min,2:00,4:15,2:45,19:15,14:30,13:30,1:45,2:30,10:45,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,1:11:15,1.683673469,0,,0.002472623,,120,255,165,1155,870,810,105,150,645,-6,4275
Thing 002,link,Min,,,,,,,19:00,15:15,20:30,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,0:54:45,,0,,0.002472623,,,,,,,,1140,915,1230,-6,3285
Thing 001,link,Min,23:30,48:00,52:45,9:15,13:15,14:45,,,,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,2:41:30,32.295918367,0,180,0.002472623,,1410,2880,3165,555,795,885,,,,-6,9690
Thing 015,link,Min,3:30,9:45,11:45,,12:30,4:00,,2:00,,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,0:43:30,7.193877551,1,,0.003172683,,210,585,705,,750,240,,120,,-5.75,2610
Thing 014,link,Min,,,,,,,43:00,30:15,55:45,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,2:9:0,,1,,0.003172683,,,,,,,,2580,1815,3345,-5.75,7740
Thing 013,link,Min,7:15,5:15,5:00,18:00,11:15,7:15,1:15,1:00,2:00,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,0:58:15,3.061224490,1,,0.003172683,,435,315,300,1080,675,435,75,60,120,-5.75,3495
Thing 012,link,Min,,,,,,,8:45,12:15,25:45,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,0:46:45,,1,,0.003172683,,,,,,,,525,735,1545,-5.75,2805
Thing 011,link,Min,21:30,32:15,18:15,,,,,,,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,1:12:0,11.173469388,1,,0.003172683,,1290,1935,1095,,,,,,,-5.75,4320
Thing 010,link,Min,21:15,34:00,37:15,17:30,1:00,2:15,,,,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,1:53:15,22.806122449,1,,0.003172683,,1275,2040,2235,1050,60,135,,,,-5.75,6795
Thing 009,link,Min,,,0:45,37:30,34:45,34:15,1:00,21:15,2:45,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,2:12:15,0.459183673,1,,0.003172683,,,,45,2250,2085,2055,60,1275,165,-5.75,7935
Thing 008,link,Min,,,0:30,13:30,22:45,21:15,6:15,8:45,4:15,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,1:17:15,0.306122449,1,15,0.003172683,,,,30,810,1365,1275,375,525,255,-5.75,4635
Thing 007,link,Min,,,,19:30,23:30,17:45,20:30,,1:45,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,1:23:0,,1,,0.003172683,3330,,,,1170,1410,1065,1230,,105,-5.75,4980
Thing 006,link,Min,,,,,,,31:45,17:30,24:45,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,1:14:0,,1,,0.003172683,,,,,,,,1905,1050,1485,-5.75,4440
Thing 005,link,Min,7:15,4:00,24:45,,1:00,6:15,,,6:00,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,0:49:15,15.153061224,1,,0.003172683,,435,240,1485,,60,375,,,360,-5.75,2955
Thing 004,link,Min,,,1:00,11:00,16:30,10:30,8:30,2:00,9:15,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,0:58:45,0.612244898,1,,0.003172683,1290,,,60,660,990,630,510,120,555,-5.75,3525
Thing 003,link,Min,2:00,4:15,2:45,19:15,14:30,13:30,1:45,2:30,10:45,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,1:11:15,1.683673469,1,,0.003172683,,120,255,165,1155,870,810,105,150,645,-5.75,4275
Thing 002,link,Min,,,,,,,19:00,15:15,20:30,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,0:54:45,,1,,0.003172683,,,,,,,,1140,915,1230,-5.75,3285
Thing 001,link,Min,23:30,48:00,52:45,9:15,13:15,14:45,,,,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,2:41:30,32.295918367,1,180,0.003172683,,1410,2880,3165,555,795,885,,,,-5.75,9690
Thing 015,link,Min,3:30,9:45,11:45,,12:30,4:00,,2:00,,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,0:43:30,7.193877551,2,,0.004070138,,210,585,705,,750,240,,120,,-5.5,2610
Thing 014,link,Min,,,,,,,43:00,30:15,55:45,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,2:9:0,,2,,0.004070138,,,,,,,,2580,1815,3345,-5.5,7740
Thing 013,link,Min,7:15,5:15,5:00,18:00,11:15,7:15,1:15,1:00,2:00,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,0:58:15,3.061224490,2,,0.004070138,,435,315,300,1080,675,435,75,60,120,-5.5,3495
Thing 012,link,Min,,,,,,,8:45,12:15,25:45,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,0:46:45,,2,,0.004070138,,,,,,,,525,735,1545,-5.5,2805
Thing 011,link,Min,21:30,32:15,18:15,,,,,,,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,1:12:0,11.173469388,2,,0.004070138,,1290,1935,1095,,,,,,,-5.5,4320
Thing 010,link,Min,21:15,34:00,37:15,17:30,1:00,2:15,,,,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,1:53:15,22.806122449,2,,0.004070138,,1275,2040,2235,1050,60,135,,,,-5.5,6795
Thing 009,link,Min,,,0:45,37:30,34:45,34:15,1:00,21:15,2:45,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,2:12:15,0.459183673,2,,0.004070138,,,,45,2250,2085,2055,60,1275,165,-5.5,7935
Thing 008,link,Min,,,0:30,13:30,22:45,21:15,6:15,8:45,4:15,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,1:17:15,0.306122449,2,15,0.004070138,,,,30,810,1365,1275,375,525,255,-5.5,4635
Thing 007,link,Min,,,,19:30,23:30,17:45,20:30,,1:45,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,1:23:0,,2,,0.004070138,3330,,,,1170,1410,1065,1230,,105,-5.5,4980
Thing 006,link,Min,,,,,,,31:45,17:30,24:45,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,1:14:0,,2,,0.004070138,,,,,,,,1905,1050,1485,-5.5,4440
Thing 005,link,Min,7:15,4:00,24:45,,1:00,6:15,,,6:00,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,0:49:15,15.153061224,2,,0.004070138,,435,240,1485,,60,375,,,360,-5.5,2955
Thing 004,link,Min,,,1:00,11:00,16:30,10:30,8:30,2:00,9:15,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,0:58:45,0.612244898,2,,0.004070138,1290,,,60,660,990,630,510,120,555,-5.5,3525
Thing 003,link,Min,2:00,4:15,2:45,19:15,14:30,13:30,1:45,2:30,10:45,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,1:11:15,1.683673469,2,,0.004070138,,120,255,165,1155,870,810,105,150,645,-5.5,4275
Thing 002,link,Min,,,,,,,19:00,15:15,20:30,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,0:54:45,,2,,0.004070138,,,,,,,,1140,915,1230,-5.5,3285
Thing 001,link,Min,23:30,48:00,52:45,9:15,13:15,14:45,,,,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,2:41:30,32.295918367,2,180,0.004070138,,1410,2880,3165,555,795,885,,,,-5.5,9690
Thing 015,link,Min,3:30,9:45,11:45,,12:30,4:00,,2:00,,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,0:43:30,7.193877551,3,,0.005220126,,210,585,705,,750,240,,120,,-5.25,2610
Thing 014,link,Min,,,,,,,43:00,30:15,55:45,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,2:9:0,,3,,0.005220126,,,,,,,,2580,1815,3345,-5.25,7740
Thing 013,link,Min,7:15,5:15,5:00,18:00,11:15,7:15,1:15,1:00,2:00,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,0:58:15,3.061224490,3,,0.005220126,,435,315,300,1080,675,435,75,60,120,-5.25,3495
Thing 012,link,Min,,,,,,,8:45,12:15,25:45,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,0:46:45,,3,,0.005220126,,,,,,,,525,735,1545,-5.25,2805
Thing 011,link,Min,21:30,32:15,18:15,,,,,,,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,1:12:0,11.173469388,3,,0.005220126,,1290,1935,1095,,,,,,,-5.25,4320
Thing 010,link,Min,21:15,34:00,37:15,17:30,1:00,2:15,,,,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,1:53:15,22.806122449,3,,0.005220126,,1275,2040,2235,1050,60,135,,,,-5.25,6795
Thing 009,link,Min,,,0:45,37:30,34:45,34:15,1:00,21:15,2:45,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,2:12:15,0.459183673,3,,0.005220126,,,,45,2250,2085,2055,60,1275,165,-5.25,7935
Thing 008,link,Min,,,0:30,13:30,22:45,21:15,6:15,8:45,4:15,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,1:17:15,0.306122449,3,15,0.005220126,,,,30,810,1365,1275,375,525,255,-5.25,4635
Thing 007,link,Min,,,,19:30,23:30,17:45,20:30,,1:45,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,1:23:0,,3,,0.005220126,3330,,,,1170,1410,1065,1230,,105,-5.25,4980
Thing 006,link,Min,,,,,,,31:45,17:30,24:45,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,1:14:0,,3,,0.005220126,,,,,,,,1905,1050,1485,-5.25,4440
Thing 005,link,Min,7:15,4:00,24:45,,1:00,6:15,,,6:00,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,0:49:15,15.153061224,3,,0.005220126,,435,240,1485,,60,375,,,360,-5.25,2955
Thing 004,link,Min,,,1:00,11:00,16:30,10:30,8:30,2:00,9:15,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,0:58:45,0.612244898,3,,0.005220126,1290,,,60,660,990,630,510,120,555,-5.25,3525
Thing 003,link,Min,2:00,4:15,2:45,19:15,14:30,13:30,1:45,2:30,10:45,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,1:11:15,1.683673469,3,,0.005220126,,120,255,165,1155,870,810,105,150,645,-5.25,4275
Thing 002,link,Min,,,,,,,19:00,15:15,20:30,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,0:54:45,,3,,0.005220126,,,,,,,,1140,915,1230,-5.25,3285
Thing 001,link,Min,23:30,48:00,52:45,9:15,13:15,14:45,,,,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,2:41:30,32.295918367,3,180,0.005220126,,1410,2880,3165,555,795,885,,,,-5.25,9690
Thing 015,link,Min,3:30,9:45,11:45,,12:30,4:00,,2:00,,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,0:43:30,7.193877551,4,,0.006692851,,210,585,705,,750,240,,120,,-5,2610
Thing 014,link,Min,,,,,,,43:00,30:15,55:45,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,2:9:0,,4,,0.006692851,,,,,,,,2580,1815,3345,-5,7740
Thing 013,link,Min,7:15,5:15,5:00,18:00,11:15,7:15,1:15,1:00,2:00,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,0:58:15,3.061224490,4,,0.006692851,,435,315,300,1080,675,435,75,60,120,-5,3495
Thing 012,link,Min,,,,,,,8:45,12:15,25:45,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,0:46:45,,4,,0.006692851,,,,,,,,525,735,1545,-5,2805
Thing 011,link,Min,21:30,32:15,18:15,,,,,,,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,1:12:0,11.173469388,4,,0.006692851,,1290,1935,1095,,,,,,,-5,4320
Thing 010,link,Min,21:15,34:00,37:15,17:30,1:00,2:15,,,,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,1:53:15,22.806122449,4,,0.006692851,,1275,2040,2235,1050,60,135,,,,-5,6795
Thing 009,link,Min,,,0:45,37:30,34:45,34:15,1:00,21:15,2:45,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,2:12:15,0.459183673,4,,0.006692851,,,,45,2250,2085,2055,60,1275,165,-5,7935
Thing 008,link,Min,,,0:30,13:30,22:45,21:15,6:15,8:45,4:15,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,1:17:15,0.306122449,4,15,0.006692851,,,,30,810,1365,1275,375,525,255,-5,4635
Thing 007,link,Min,,,,19:30,23:30,17:45,20:30,,1:45,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,1:23:0,,4,,0.006692851,3330,,,,1170,1410,1065,1230,,105,-5,4980
Thing 006,link,Min,,,,,,,31:45,17:30,24:45,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,1:14:0,,4,,0.006692851,,,,,,,,1905,1050,1485,-5,4440
Thing 005,link,Min,7:15,4:00,24:45,,1:00,6:15,,,6:00,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,0:49:15,15.153061224,4,,0.006692851,,435,240,1485,,60,375,,,360,-5,2955
Thing 004,link,Min,,,1:00,11:00,16:30,10:30,8:30,2:00,9:15,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,0:58:45,0.612244898,4,,0.006692851,1290,,,60,660,990,630,510,120,555,-5,3525
Thing 003,link,Min,2:00,4:15,2:45,19:15,14:30,13:30,1:45,2:30,10:45,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,1:11:15,1.683673469,4,,0.006692851,,120,255,165,1155,870,810,105,150,645,-5,4275
Thing 002,link,Min,,,,,,,19:00,15:15,20:30,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,0:54:45,,4,,0.006692851,,,,,,,,1140,915,1230,-5,3285
